类型,书名,出版日期,出版社,现价,原价,折扣,详细说明,图片地址
Go 语言, Go语言入门经典 ,2023-04-14,清华大学出版社,¥84.60,¥99.00,8.55折 ,,https://img3m3.ddimg.cn/79/2/11412094003-1_b_2.jpg
Go 语言, GO语言机器学习实战 助力GO语言全面应用 Go语言 机器学习 人工智能 贝叶斯 分类器 聚类 神经网络 卷积 人脸识别 全新正版，如需发票，请联系本店客服索取,2022-01-11,机械工业出版社,¥78.33,¥79.00,9.92折 ,,https://img3m9.ddimg.cn/69/25/11054540049-1_b_1.jpg
Go 语言, Go语言编程+Go语言核心编程 2册 golang教程实战自学基础入门精通实践开发 Go语言编程自学宝典图书 Go语言实 ,2020-05-01,东南大学出版社,¥178.00,¥266.00,6.7折 ,,https://img3m8.ddimg.cn/79/27/11379171058-1_b_2.jpg
Go 语言, Go语言精进之路：从新手到高手的编程思想、方法和技巧 1 ,2021-12-01,机械工业,¥69.52,¥99.00,7.03折 ,,https://img3m5.ddimg.cn/81/27/11082515085-1_b_1.jpg
Go 语言, Go语言编程之旅：*起用Go做项目 ,,电子工业出版社,¥121.79,¥133.44,9.13折 ,,https://img3m8.ddimg.cn/47/25/11357656148-1_b_1.jpg
Go 语言, Go语言学习指南 惯例模式与编程实践 Go程序设计语言 Go并发编程实战教程书籍 go语言编程教程书籍 go语言学习笔记 ,2022-04-01,机械工业出版社,¥126.00,¥189.00,6.67折 ,,https://img3m2.ddimg.cn/65/21/11383730192-1_b_2.jpg
Go 语言, Go语言极简一本通：零基础入门到项目实战 ,2021-04-01,电子工业出版社,¥87.40,¥99.00,8.83折 ,,https://img3m4.ddimg.cn/72/22/11419805304-1_b_1.jpg
Go 语言, Go语言精进之路 从新手到高手的编程思想 方法和技巧 2 白明 并发模型 项目结构 原子操作 包外测试 机械工业出版社 旗舰店正版质量保证！支持团购优惠价，出版社库房直发，提供正规电子发票,2022-01-01,机械工业出版社,¥83.30,¥119.00,7折 ,,https://img3m8.ddimg.cn/16/27/11363160418-1_b_1.jpg
Go 语言, Go语言精进之路：从新手到高手的编程思想、方法和技巧 1 ,2022-01-01,机械工业出版社,¥130.92,¥130.92,10折,,https://img3m7.ddimg.cn/78/10/11353393437-1_b_1.jpg
Go 语言, Go语言从入门到进阶实战 视频教学版徐波 编著 书籍 万卷图书专营店2-818B,2000-01-01,机械工业出版社,¥97.20,¥119.00,8.17折 ,,https://img3m5.ddimg.cn/5/13/11241009455-1_b_1.jpg
Go 语言, Go语言编程 Go语言编程入门书籍 golang教程实战自学基础入门精通实践开发 Go语言从入门到进阶实战 go语言程序 ,2022-09-01,人民邮电出版社,¥79.00,¥89.00,8.88折 ,,https://img3m1.ddimg.cn/61/30/11241111481-1_b_1.jpg
Go 语言," Go语言极简一本通：零基础入门到项目实战 欢喜 电子工业出版社 9787121407482 正版图书保证质量,七天无理由退货让您购物无忧",2021-04-01,电子工业出版社,¥63.40,¥99.00,6.41折 ,,https://img3m4.ddimg.cn/14/17/11421282524-1_b_1.jpg
Go 语言, Go语言从入门到精通 谢琼 编 程序设计（新）大中专 图书籍 人民邮电出版社正版 ,2021-02-01,人民邮电出版社,¥67.00,¥80.00,8.38折 ,,https://img3m2.ddimg.cn/42/16/11293475532-1_b_2.jpg
Go 语言, Go语言开发实战（慕课版） 千锋教育高教产品研发部 人民邮电出版社 9787115515780 ,2019-12-01,人民邮电出版社,¥42.00,¥42.00,10折,,https://img3m5.ddimg.cn/73/18/11433741535-1_b_1.jpg
Go 语言, Go语言编程 Go语言编程入门书籍 golang教程实战自学基础入门精通实践开发 Go语言从入门到进阶实战 go语言程序 ,,人民邮电出版社,¥65.48,¥89.00,7.36折 ,,https://img3m9.ddimg.cn/7/6/11420658619-1_b_1.jpg
Go 语言, Go语言项目开发上手指南 谢伟 Go语言编程基础进阶知识 网络爬虫Web编程GraphQL编程面向接口编程 Go核心知识 全新正版，正规发票，联系客服索取,2021-09-28,机械工业出版社,¥107.80,¥119.00,9.06折 ,,https://img3m1.ddimg.cn/91/19/11021901751-1_b_1.jpg
Go 语言, Go语言趣学指南 [加]内森·扬曼(NathanYoungman)[英]罗杰·佩珀(R 人民邮电出版社【正版书籍，电子发 支持电子发票，如需发票请联系在线客服提供您的邮箱,2020-04-01,人民邮电出版社,¥58.65,¥69.00,8.5折 ,Go是谷歌公司为了解决重大问题而设计的一种小型编程语言。完成大型项目需要大型团队，而大型团队中团队成员的经验水平往往各不相同。Go是一种小巧却功能强大的语言，它能够被任何人理解和使用，无论其经验如何。 快速、现代的编程语言能让业余爱好者、初学者和专业人员都受益。你需要的正是这样的语言。本书针对Go语言基础知识提供了实操性的指导，使你能够掌握Go语法，使用类型和函数，探索状态和并发等更重要的概念，并通过大量练习来巩固学到的知识。 本书包括以下内容： 切片、接口、指针和并发等重要语言概念； 地鼠太空航行、火星探测器、文本加密以及人类繁衍模拟等7个单元实验； 无须安装即可在Go Playground中运行的示例。 本书面向所有熟悉计算机编程以及渴望获得这一技能的人。,https://img3m1.ddimg.cn/60/6/11415807771-1_b_1.jpg
Go 语言, Go语言编程实战 ,2019-08-01,清华大学,¥34.57,¥59.00,5.86折 ,,https://img3m5.ddimg.cn/32/8/11416563905-1_b_1.jpg
Go 语言, 【正版】Go语言学习笔记 Go语言实战指南 go语言编程入门教程 系统编程语言程序设计教材 go语言程序设计教程书籍 ,2023-04-24,电子工业出版社,¥75.00,¥137.00,5.48折 ,,https://img3m3.ddimg.cn/25/31/11424429943-1_b_2.jpg
Go 语言, Go语言开发实战（慕课版） ,2019-12-01,人民邮电,¥47.49,¥68.00,6.99折 ,,https://img3m7.ddimg.cn/17/10/1610959697-1_b_1.jpg
Go 语言, Go语言入门经典 ,2018-08-01,人民邮电,¥41.21,¥59.00,6.99折 ,,https://img3m0.ddimg.cn/74/6/1107905510-1_b_3.jpg
